Característica,Valor
Enfermedades,265.2564829714382
Gen Masculino,-1.4594431503253632e+17
Gen Femenino,-1.4594431503253632e+17
Reg 10,-2.145825886164752e+16
Reg 20,-2.145825886164143e+16
Reg 30,-2.145825886164225e+16
Reg 40,-2.1458258861643536e+16
Reg 50,-2.145825886164699e+16
Cat Parto,-1.866999025458762e+16
Cat Salud Mental,-1.866999025466166e+16
Cat Cirugía Ambulatoria,-1.866999025466343e+16
Cat Conciliación,-1.8669990254679796e+16
Cat Consultas,-1.866999025470597e+16
Cat Exámenes de Diagnóstico,-1.8669990254676216e+16
Cat Final de la Vida,-1.866999025461674e+16
Cat Fisioterapia,-1.866999025473757e+16
Cat Infiltraciones,-1.8669990254639616e+16
Cat Laboratorio Clínico,-1.866999025468123e+16
Cat Odontología,-1.8669990254716216e+16
Cat PAMD,-1.866999025464853e+16
Cat Sin Categoría,-1.8669990254676216e+16
Cat Tratamiento Ambulatorio,-1.866999025465247e+16
Cat Tratamiento Médico Hospitalario,-1.8669990254659588e+16
Cat Tratamiento Quirúrgico Hospitalario,-1.866999025466377e+16
Cat Tratamientos Específicos,-1.866999025469232e+16
Cat Vacunación,-1.866999025468878e+16
Edad 1-10,4.883300752156641e+16
Edad 11-20,4.88330075215662e+16
Edad 21-30,4.883300752156476e+16
Edad 31-40,4.883300752156579e+16
Edad 41-50,4.883300752156558e+16
Edad 51-60,4.883300752156572e+16
Edad 61-70,4.883300752156634e+16
Edad 71-80,4.88330075215664e+16
Edad 81-90,4.883300752156795e+16
Edad 91-100,4.883300752157201e+16
Edad 101-110,4.883300752155013e+16
